project,pair_id,language,expected_type,type_match_status,expected_scope,inspection_priority,relationship_shape,overall_relationship,dominant_region_type,matched_coverage_left,matched_coverage_right,unrelated_code_ratio,accepted_region_count,selected_region_count,suppressed_region_count,emitted_region_count,count_T1,count_T2,count_T3,count_T4_CONFIRMED,count_POSSIBLE_T4_CANDIDATE,count_NON_CLONE,coverage_T1,coverage_T2,coverage_T3,coverage_T4_CONFIRMED,coverage_POSSIBLE_T4_CANDIDATE,coverage_NON_CLONE,file_tags,first_regions,runtime_ms,transformation_tag,difficulty,limitation_tag,notes
LongT1,java_long_t1_order_01,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,1.0,1.0,0.0,7430,14,7416,14,14,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:OrderRiskA.checksumBonus(String[],String)->OrderRiskA.checksumBonus(String[],String)|T1:OrderRiskA.distributionScore(int[])->OrderRiskA.distributionScore(int[])|T1:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskA.evaluate(int[],String[],String,int)|T1:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskA.explainOrderRiskScore(int[],String[],String)|T1:OrderRiskA.hasStableWindow(int[],int)->OrderRiskA.hasStableWindow(int[],int)",4102,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_order_01,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,1.0,1.0,0.0,7430,14,7416,14,0,14,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskB.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskB.distributionScore(int[])|T2:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskB.compute(int[],String[],String,int)|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskB.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskB.hasStableWindow(int[],int)",4055,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_order_01,JAVA,T3,True,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T3,1.0,1.0,0.0,7435,15,7420,15,0,13,2,0,0,0,0.0,0.812785,1.0,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskC.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskC.distributionScore(int[])|T2:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskC.compute(int[],String[],String,int)|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskC.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskC.hasStableWindow(int[],int)",4041,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_order_01,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T3,1.0,1.0,0.0,7178,15,7163,15,0,13,2,0,0,0,0.0,0.812785,1.0,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskD.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskD.distributionScore(int[])|T2:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskD.compute(int[],String[],String,int)|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskD.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskD.hasStableWindow(int[],int)",3940,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_order_01,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T3,1.0,1.0,0.0,6866,14,6852,14,0,12,2,0,0,0,0.0,0.767123,1.0,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskE.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskE.distributionScore(int[])|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskE.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskE.hasStableWindow(int[],int)|T2:OrderRiskA.normalizeToken(String)->OrderRiskE.normalizeToken(String)",3887,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_order_01,JAVA,NON_CLONE,False,UNKNOWN,MEDIUM,PARTIAL_OVERLAP,MIXED_CLONE_TYPES,T3,0.552511,0.712042,0.447489,518,130,388,25,1,3,126,0,0,0,0.020942,0.041885,0.712042,0.0,0.0,0.0,EXACT_COPY|LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T3:OrderRiskA.scoreOrderRiskLabels(String[]) block sequence 0->OrderRiskUnrelatedZ.countWords(String[]) block sequence 0|T3:OrderRiskA.scoreOrderRiskLabels(String[]) block sequence 0->OrderRiskUnrelatedZ.longestLine(String[]) block sequence 0|T3:OrderRiskA.normalizeToken(String) block sequence 0->OrderRiskUnrelatedZ.cleanRow(String) block sequence 0|T3:OrderRiskA.normalizeToken(String) statements 4-9->OrderRiskUnrelatedZ.padLeft(int,int) block sequence 0|T1:OrderRiskA.hasStableWindow(int[],int) statements 13-14->OrderRiskUnrelatedZ.containsPhrase(String[],String) statements 6-7",3262,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_sensor_02,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,1.0,1.0,0.0,7430,14,7416,14,14,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:SensorQualityA.checksumBonus(String[],String)->SensorQualityA.checksumBonus(String[],String)|T1:SensorQualityA.distributionScore(int[])->SensorQualityA.distributionScore(int[])|T1:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityA.evaluate(int[],String[],String,int)|T1:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityA.explainSensorQualityScore(int[],String[],String)|T1:SensorQualityA.hasStableWindow(int[],int)->SensorQualityA.hasStableWindow(int[],int)",4035,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_sensor_02,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,1.0,1.0,0.0,7430,14,7416,14,0,14,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityB.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityB.distributionScore(int[])|T2:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityB.compute(int[],String[],String,int)|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityB.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityB.hasStableWindow(int[],int)",3875,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_sensor_02,JAVA,T3,True,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T3,1.0,1.0,0.0,7435,15,7420,15,0,13,2,0,0,0,0.0,0.812785,1.0,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityC.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityC.distributionScore(int[])|T2:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityC.compute(int[],String[],String,int)|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityC.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityC.hasStableWindow(int[],int)",4080,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_sensor_02,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T3,1.0,1.0,0.0,7178,15,7163,15,0,13,2,0,0,0,0.0,0.812785,1.0,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityD.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityD.distributionScore(int[])|T2:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityD.compute(int[],String[],String,int)|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityD.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityD.hasStableWindow(int[],int)",4128,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
